ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-07-05,-39002.8894332459,-40200.9114507643,-37632.79159543688,-39002.8894332459,-39002.8894332459,83.46607333683488,83.46607333683488,83.46607333683488,83.46607333683488,83.46607333683488,83.46607333683488,0.0,0.0,0.0,-38919.423359909066
2024-07-08,-38805.095510997264,-39925.280289236835,-37418.03680565973,-38805.095510997264,-38805.095510997264,147.5991339674539,147.5991339674539,147.5991339674539,147.5991339674539,147.5991339674539,147.5991339674539,0.0,0.0,0.0,-38657.49637702981
2024-07-09,-38739.16420358106,-40031.072829526034,-37465.514094610844,-38739.16420358106,-38739.16420358106,-25.748017987525756,-25.748017987525756,-25.748017987525756,-25.748017987525756,-25.748017987525756,-25.748017987525756,0.0,0.0,0.0,-38764.912221568586
2024-07-10,-38673.23289616484,-40003.806870473585,-37430.92584151623,-38673.23289616484,-38673.23289616484,-0.2931102100017942,-0.2931102100017942,-0.2931102100017942,-0.2931102100017942,-0.2931102100017942,-0.2931102100017942,0.0,0.0,0.0,-38673.52600637484
2024-07-11,-38607.30158874863,-39939.031702190645,-37347.02430767647,-38607.30158874863,-38607.30158874863,-8.290372774769674,-8.290372774769674,-8.290372774769674,-8.290372774769674,-8.290372774769674,-8.290372774769674,0.0,0.0,0.0,-38615.5919615234
2024-07-12,-38541.37028146427,-39817.5231665865,-37176.18790022421,-38541.37028146427,-38541.37028146427,83.46607333757177,83.46607333757177,83.46607333757177,83.46607333757177,83.46607333757177,83.46607333757177,0.0,0.0,0.0,-38457.904208126696
2024-07-15,-38343.576359611165,-39517.182431955,-36971.37817108099,-38343.576359611165,-38343.576359611165,147.5991339669156,147.5991339669156,147.5991339669156,147.5991339669156,147.5991339669156,147.5991339669156,0.0,0.0,0.0,-38195.97722564425
2024-07-16,-38277.6450523268,-39339.3553944624,-36970.51449040023,-38277.6450523268,-38277.6450523268,-25.74801798744574,-25.74801798744574,-25.74801798744574,-25.74801798744574,-25.74801798744574,-25.74801798744574,0.0,0.0,0.0,-38303.39307031425
2024-07-17,-38211.713745042434,-39474.58233394776,-36873.63585870412,-38211.713745042434,-38211.713745042434,-0.2931102093593538,-0.2931102093593538,-0.2931102093593538,-0.2931102093593538,-0.2931102093593538,-0.2931102093593538,0.0,0.0,0.0,-38212.00685525179
2024-07-18,-38145.78243775807,-39392.46465555086,-36807.285575051275,-38145.78243775807,-38145.78243775807,-8.290372775429624,-8.290372775429624,-8.290372775429624,-8.290372775429624,-8.290372775429624,-8.290372775429624,0.0,0.0,0.0,-38154.0728105335
2024-07-19,-38079.851130473704,-39268.70435283645,-36629.055835033,-38079.851130473704,-38079.851130473704,83.46607333643655,83.46607333643655,83.46607333643655,83.46607333643655,83.46607333643655,83.46607333643655,0.0,0.0,0.0,-37996.38505713727
2024-07-22,-37882.05720862061,-39064.24291478717,-36473.528932540146,-37882.05720862061,-37882.05720862061,147.59913396702223,147.59913396702223,147.59913396702223,147.59913396702223,147.59913396702223,147.59913396702223,0.0,0.0,0.0,-37734.45807465359
2024-07-23,-37816.12590133624,-39117.67738578323,-36499.015732665175,-37816.12590133624,-37816.12590133624,-25.748017988009003,-25.748017988009003,-25.748017988009003,-25.748017988009003,-25.748017988009003,-25.748017988009003,0.0,0.0,0.0,-37841.87391932425
2024-07-24,-37750.19459335298,-39067.57397190548,-36381.025223579185,-37750.19459335298,-37750.19459335298,-0.2931102096494052,-0.2931102096494052,-0.2931102096494052,-0.2931102096494052,-0.2931102096494052,-0.2931102096494052,0.0,0.0,0.0,-37750.48770356263
2024-07-25,-37684.26328536971,-39084.87123070364,-36375.96777874738,-37684.26328536971,-37684.26328536971,-8.290372776089574,-8.290372776089574,-8.290372776089574,-8.290372776089574,-8.290372776089574,-8.290372776089574,0.0,0.0,0.0,-37692.5536581458
2024-07-26,-37618.33197738644,-38860.81586656135,-36288.92831996621,-37618.33197738644,-37618.33197738644,83.46607333709684,83.46607333709684,83.46607333709684,83.46607333709684,83.46607333709684,83.46607333709684,0.0,0.0,0.0,-37534.865904049344
2024-07-28,-37486.46936141991,-39058.37522091669,-36511.554488709735,-37486.46936141991,-37486.46936141991,-298.81129447245314,-298.81129447245314,-298.81129447245314,-298.81129447245314,-298.81129447245314,-298.81129447245314,0.0,0.0,0.0,-37785.28065589237
2024-07-29,-37420.53805343665,-38481.80329448002,-36099.652534763176,-37420.53805343665,-37420.53805343665,147.5991339673556,147.5991339673556,147.5991339673556,147.5991339673556,147.5991339673556,147.5991339673556,0.0,0.0,0.0,-37272.93891946929
2024-07-30,-37354.606745453384,-38594.14256534938,-36026.595053017416,-37354.606745453384,-37354.606745453384,-25.74801798792895,-25.74801798792895,-25.74801798792895,-25.74801798792895,-25.74801798792895,-25.74801798792895,0.0,0.0,0.0,-37380.35476344131
2024-07-31,-37288.67543747012,-38498.01316757497,-36025.18024944486,-37288.67543747012,-37288.67543747012,-0.29311020951109495,-0.29311020951109495,-0.29311020951109495,-0.29311020951109495,-0.29311020951109495,-0.29311020951109495,0.0,0.0,0.0,-37288.96854767963
2024-08-01,-37222.74412278388,-38563.847264018834,-35979.987492928085,-37222.74412278388,-37222.74412278388,-8.29037277467561,-8.29037277467561,-8.29037277467561,-8.29037277467561,-8.29037277467561,-8.29037277467561,0.0,0.0,0.0,-37231.03449555855
2024-08-02,-37156.812808097646,-38354.22079317392,-35812.53405092447,-37156.812808097646,-37156.812808097646,83.46607333596162,83.46607333596162,83.46607333596162,83.46607333596162,83.46607333596162,83.46607333596162,0.0,0.0,0.0,-37073.34673476168
2024-08-05,-36959.01886403894,-38159.90579333142,-35538.134611355854,-36959.01886403894,-36959.01886403894,147.59913396768897,147.59913396768897,147.59913396768897,147.59913396768897,147.59913396768897,147.59913396768897,0.0,0.0,0.0,-36811.41973007125
2024-08-06,-36893.0875493527,-38239.48896866163,-35618.13732194508,-36893.0875493527,-36893.0875493527,-25.748017988492215,-25.748017988492215,-25.748017988492215,-25.748017988492215,-25.748017988492215,-25.748017988492215,0.0,0.0,0.0,-36918.83556734119
2024-08-07,-36827.156234666465,-38118.598549396316,-35557.48490824493,-36827.156234666465,-36827.156234666465,-0.2931102098011375,-0.2931102098011375,-0.2931102098011375,-0.2931102098011375,-0.2931102098011375,-0.2931102098011375,0.0,0.0,0.0,-36827.449344876266
2024-08-08,-36761.22491998023,-38102.97306608123,-35435.21563031257,-36761.22491998023,-36761.22491998023,-8.290372775335562,-8.290372775335562,-8.290372775335562,-8.290372775335562,-8.290372775335562,-8.290372775335562,0.0,0.0,0.0,-36769.51529275557
2024-08-09,-36695.29360529399,-37884.42767746216,-35194.069582218086,-36695.29360529399,-36695.29360529399,83.46607333669846,83.46607333669846,83.46607333669846,83.46607333669846,83.46607333669846,83.46607333669846,0.0,0.0,0.0,-36611.82753195729
2024-08-12,-36497.49966123528,-37586.96871093103,-35018.297293164476,-36497.49966123528,-36497.49966123528,147.59913396647053,147.59913396647053,147.59913396647053,147.59913396647053,147.59913396647053,147.59913396647053,0.0,0.0,0.0,-36349.90052726881
2024-08-13,-36417.683305140374,-37731.475181022215,-35158.56171607741,-36417.683305140374,-36417.683305140374,-25.74801798776888,-25.74801798776888,-25.74801798776888,-25.74801798776888,-25.74801798776888,-25.74801798776888,0.0,0.0,0.0,-36443.43132312814
2024-08-14,-36337.86694904548,-37674.352341039004,-35089.53240895022,-36337.86694904548,-36337.86694904548,-0.2931102091587059,-0.2931102091587059,-0.2931102091587059,-0.2931102091587059,-0.2931102091587059,-0.2931102091587059,0.0,0.0,0.0,-36338.16005925464
2024-08-15,-36258.05059295057,-37468.9140454308,-35094.549165752025,-36258.05059295057,-36258.05059295057,-8.290372774958554,-8.290372774958554,-8.290372774958554,-8.290372774958554,-8.290372774958554,-8.290372774958554,0.0,0.0,0.0,-36266.340965725525
2024-08-16,-36178.234236855664,-37368.47281635884,-34832.254745318096,-36178.234236855664,-36178.234236855664,83.46607333642274,83.46607333642274,83.46607333642274,83.46607333642274,83.46607333642274,83.46607333642274,0.0,0.0,0.0,-36094.76816351924
2024-08-19,-35938.78516857095,-37047.12470974736,-34512.11332034799,-35938.78516857095,-35938.78516857095,147.59913396657723,147.59913396657723,147.59913396657723,147.59913396657723,147.59913396657723,147.59913396657723,0.0,0.0,0.0,-35791.18603460437
2024-08-20,-35858.96881247604,-37155.1677816074,-34668.466448165585,-35858.96881247604,-35858.96881247604,-25.748017988332144,-25.748017988332144,-25.748017988332144,-25.748017988332144,-25.748017988332144,-25.748017988332144,0.0,0.0,0.0,-35884.71683046438
2024-08-21,-35779.15245638114,-37051.31051424795,-34435.41035025752,-35779.15245638114,-35779.15245638114,-0.2931102094487751,-0.2931102094487751,-0.2931102094487751,-0.2931102094487751,-0.2931102094487751,-0.2931102094487751,0.0,0.0,0.0,-35779.44556659059
2024-08-22,-35683.35041201998,-36928.476035761254,-34359.297725397104,-35683.35041201998,-35683.35041201998,-8.290372775357838,-8.290372775357838,-8.290372775357838,-8.290372775357838,-8.290372775357838,-8.290372775357838,0.0,0.0,0.0,-35691.64078479534
2024-08-23,-35587.54836765882,-36856.01080146037,-34291.669764429316,-35587.54836765882,-35587.54836765882,83.46607333622357,83.46607333622357,83.46607333622357,83.46607333622357,83.46607333622357,83.46607333622357,0.0,0.0,0.0,-35504.082294322594
2024-08-26,-35300.142234575345,-36527.18323491643,-33879.23810127335,-35300.142234575345,-35300.142234575345,147.59913396691059,147.59913396691059,147.59913396691059,147.59913396691059,147.59913396691059,147.59913396691059,0.0,0.0,0.0,-35152.54310060843
2024-08-27,-35204.340190214185,-36544.397480135,-33927.59950343888,-35204.340190214185,-35204.340190214185,-25.748017987886403,-25.748017987886403,-25.748017987886403,-25.748017987886403,-25.748017987886403,-25.748017987886403,0.0,0.0,0.0,-35230.08820820207
2024-08-28,-35108.538145853025,-36507.20595459349,-33751.13331657475,-35108.538145853025,-35108.538145853025,-0.2931102088063346,-0.2931102088063346,-0.2931102088063346,-0.2931102088063346,-0.2931102088063346,-0.2931102088063346,0.0,0.0,0.0,-35108.83125606183
2024-08-29,-35012.73610149187,-36340.67383866845,-33749.359995885105,-35012.73610149187,-35012.73610149187,-8.290372774980833,-8.290372774980833,-8.290372774980833,-8.290372774980833,-8.290372774980833,-8.290372774980833,0.0,0.0,0.0,-35021.02647426685
2024-08-30,-34916.93405713072,-36118.29684604184,-33619.18598158237,-34916.93405713072,-34916.93405713072,83.46607333602435,83.46607333602435,83.46607333602435,83.46607333602435,83.46607333602435,83.46607333602435,0.0,0.0,0.0,-34833.4679837947
2024-08-31,-34821.13200404237,-36016.26887439398,-33518.5602711198,-34821.13200404237,-34821.13200404237,102.07758814060935,102.07758814060935,102.07758814060935,102.07758814060935,102.07758814060935,102.07758814060935,0.0,0.0,0.0,-34719.05441590176
2024-09-02,-34629.52789786567,-35773.08916630271,-33245.96800223634,-34629.52789786567,-34629.52789786567,147.59913396724397,147.59913396724397,147.59913396724397,147.59913396724397,147.59913396724397,147.59913396724397,0.0,0.0,0.0,-34481.928763898424
2024-09-03,-34533.72584477732,-35775.394809681886,-33321.38499415199,-34533.72584477732,-34533.72584477732,-25.74801798780635,-25.74801798780635,-25.74801798780635,-25.74801798780635,-25.74801798780635,-25.74801798780635,0.0,0.0,0.0,-34559.473862765124
2024-09-04,-34437.923791688976,-35710.03850056608,-33153.31347925682,-34437.923791688976,-34437.923791688976,-0.2931102100288601,-0.2931102100288601,-0.2931102100288601,-0.2931102100288601,-0.2931102100288601,-0.2931102100288601,0.0,0.0,0.0,-34438.216901899
2024-09-05,-34342.121738600625,-35558.88161844823,-33097.484152021025,-34342.121738600625,-34342.121738600625,-8.290372774603824,-8.290372774603824,-8.290372774603824,-8.290372774603824,-8.290372774603824,-8.290372774603824,0.0,0.0,0.0,-34350.412111375226
2024-09-06,-34246.31968551227,-35538.49076385336,-32898.11347266961,-34246.31968551227,-34246.31968551227,83.46607333676123,83.46607333676123,83.46607333676123,83.46607333676123,83.46607333676123,83.46607333676123,0.0,0.0,0.0,-34162.85361217551
2024-09-09,-33958.91352624723,-35135.433208321454,-32554.72944472145,-33958.91352624723,-33958.91352624723,147.59913396735067,147.59913396735067,147.59913396735067,147.59913396735067,147.59913396735067,147.59913396735067,0.0,0.0,0.0,-33811.31439227988
